                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.096515,                0.10308,               0.065387,               0.025937,               0.041222,               0.080288,               0.033734,               0.011849,               0.045604,               0.078913,               0.032679,               0.011413,               0.076253,               0.069401,               0.032416,                0.02415,               0.070128,              0.0033191,              0.0033191
                      1,               0.072632,               0.076739,               0.068362,               0.020745,               0.069864,                 0.1867,               0.057519,               0.021637,               0.071507,                0.16542,               0.059827,               0.024097,               0.069366,               0.049139,                0.02946,               0.014278,               0.040068,              0.0065925,              0.0065925
                      2,               0.070288,               0.071851,               0.066104,               0.018722,                0.54428,                0.18688,                0.12871,                 0.0621,                0.82312,               0.094961,                0.13367,               0.083983,               0.064269,               0.048845,               0.030356,               0.013159,              0.0099485,               0.009806,               0.009806
                      3,               0.064535,               0.069871,               0.067323,               0.017468,                0.63041,                0.18549,                0.19151,               0.068916,                0.68113,                0.17566,                0.19919,               0.090392,                0.06366,               0.045244,               0.030225,                0.01146,                0.00973,                0.00973,                0.00973
                      4,               0.062639,               0.068507,               0.069033,               0.016841,                 0.5873,                0.45806,                0.41486,                0.17528,                0.58114,                0.44307,                0.39818,                0.25048,               0.055927,               0.043295,               0.029192,              0.0097301,                0.00973,                0.00973,                0.00973
                      5,               0.058397,               0.065951,               0.068018,               0.015989,                0.59232,                0.59171,                0.47612,                 0.2262,                0.59658,                0.60569,                0.50061,                0.26145,               0.049521,               0.043973,               0.027871,              0.0086678,                0.00964,                0.00964,                0.00964
                      6,               0.055976,               0.066777,               0.070109,               0.015655,                0.66858,                0.49693,                0.47564,                0.21549,                0.67081,                0.50302,                0.47128,                0.27949,               0.052006,               0.041759,               0.027775,              0.0081734,                0.00955,                0.00955,                0.00955
                      7,               0.056094,                0.06399,               0.068774,               0.015189,                0.62228,                0.52305,                0.44187,                0.23181,                0.63924,                 0.5506,                0.46265,                0.23785,               0.051137,               0.041747,               0.033941,              0.0072773,                0.00946,                0.00946,                0.00946
                      8,                0.05394,               0.064997,               0.069754,               0.014773,                  0.761,                0.54271,                0.51529,                0.28806,                0.75638,                0.53884,                0.51387,                0.33322,               0.048484,                0.04091,               0.029037,              0.0072197,                0.00937,                0.00937,                0.00937
                      9,                0.05133,               0.063331,                0.06911,               0.014704,                0.79333,                0.53215,                0.57455,                0.35747,                0.80301,                0.54392,                0.58298,                0.37404,               0.047294,               0.039709,               0.026303,               0.006001,                0.00928,                0.00928,                0.00928
                     10,               0.051709,               0.062674,               0.066045,               0.014373,                 0.7564,                0.59555,                0.58654,                0.31894,                0.76396,                0.60262,                0.59478,                0.39487,               0.047746,               0.040268,               0.027669,              0.0065425,                0.00919,                0.00919,                0.00919
                     11,               0.050507,               0.064032,               0.068755,               0.014165,                 0.5854,                 0.5598,                0.48176,                0.23861,                0.58794,                0.56561,                0.49514,                0.28545,               0.043772,               0.036632,               0.034756,              0.0066646,                 0.0091,                 0.0091,                 0.0091
                     12,               0.049064,               0.062484,                0.06646,                0.01422,                0.76928,                0.58889,                0.61926,                0.38912,                0.78477,                0.60532,                0.63765,                0.44924,               0.046508,               0.038588,               0.027012,              0.0063403,                0.00901,                0.00901,                0.00901
                     13,               0.047659,               0.062313,               0.068362,                0.01426,                0.77178,                0.61739,                0.62312,                0.40969,                0.79575,                0.62708,                0.64023,                0.42717,               0.043899,               0.037909,               0.029147,              0.0057988,                0.00892,                0.00892,                0.00892
                     14,               0.046289,               0.060808,               0.065635,               0.013753,                0.78353,                0.54961,                0.56562,                 0.3456,                0.82615,                0.55249,                0.58722,                0.36544,               0.042443,               0.038569,               0.027075,              0.0057057,                0.00883,                0.00883,                0.00883
